A_ms,V_ms,B_ms,"min(A,V)_ms",facil_ms,delays,gNMDA,pulse_ms,intensity,Model,elapsed_s
42.0,42.0,42.0,42.0,0.0,sym_40,0.05,30,0.3,msi_model_surr_10_00,5.56
42.0,42.0,42.0,42.0,0.0,sym_40,0.05,30,0.7,msi_model_surr_10_00,5.51
42.0,42.0,41.0,42.0,1.0,sym_40,0.05,30,1.0,msi_model_surr_10_00,5.47
42.0,43.0,42.0,42.0,0.0,sym_40,0.05,50,0.1,msi_model_surr_10_00,5.56
42.0,42.0,42.0,42.0,0.0,sym_40,0.05,50,0.3,msi_model_surr_10_00,5.55
42.0,42.0,42.0,42.0,0.0,sym_40,0.05,50,0.7,msi_model_surr_10_00,5.5
42.0,42.0,41.0,42.0,1.0,sym_40,0.05,50,1.0,msi_model_surr_10_00,5.46
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,5,0.1,msi_model_surr_10_00,5.48
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,5,0.3,msi_model_surr_10_00,5.48
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,5,0.7,msi_model_surr_10_00,5.49
41.0,42.0,41.0,41.0,0.0,sym_40,1.3,5,1.0,msi_model_surr_10_00,5.38
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,10,0.1,msi_model_surr_10_00,5.5
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,10,0.3,msi_model_surr_10_00,5.51
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,10,0.7,msi_model_surr_10_00,5.52
41.0,42.0,41.0,41.0,0.0,sym_40,1.3,10,1.0,msi_model_surr_10_00,5.42
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,20,0.1,msi_model_surr_10_00,5.54
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,20,0.3,msi_model_surr_10_00,5.54
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,20,0.7,msi_model_surr_10_00,5.53
41.0,42.0,41.0,41.0,0.0,sym_40,1.3,20,1.0,msi_model_surr_10_00,5.44
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,30,0.1,msi_model_surr_10_00,5.52
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,30,0.3,msi_model_surr_10_00,5.52
42.0,42.0,41.0,42.0,1.0,sym_40,1.3,30,0.7,msi_model_surr_10_00,5.49
41.0,42.0,41.0,41.0,0.0,sym_40,1.3,30,1.0,msi_model_surr_10_00,5.44
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,50,0.1,msi_model_surr_10_00,5.55
42.0,42.0,42.0,42.0,0.0,sym_40,1.3,50,0.3,msi_model_surr_10_00,5.55
42.0,42.0,41.0,42.0,1.0,sym_40,1.3,50,0.7,msi_model_surr_10_00,5.51
41.0,42.0,41.0,41.0,0.0,sym_40,1.3,50,1.0,msi_model_surr_10_00,5.47
